Date,Ticker,Open,High,Low,Close,Volume,Adj Close
2018-01-02,AAPL,170.16,172.3,169.26,172.26,25555900,168.99
2018-01-02,AXP,99.73,99.73,98.22,98.94,2746700,97.12
2018-01-02,BA,295.75,296.99,295.4,296.84,2978900,289.67
2018-01-02,CAT,158.3,159.39,156.03,157.04,5108400,152.62
2018-01-02,CSCO,38.67,38.95,38.43,38.86,20135700,37.42
2018-01-02,CVX,125.71,127.74,125.54,127.58,5626000,122.84
2018-01-02,DIS,108.95,111.81,108.56,111.8,11014300,110.05
2018-01-02,DWDP,71.57,72.19,71.4,71.9,7430600,70.26
2018-01-02,GS,257.77,257.91,253.92,255.67,2258300,252.2
2018-01-02,HD,190.21,190.72,188.01,188.03,4684700,183.87
2018-01-02,IBM,154.5,154.81,153.54,154.25,4202500,145.88
2018-01-02,INTC,46.38,46.9,46.21,46.85,23370800,45.41
2018-01-02,JNJ,139.66,139.95,138.72,139.23,6842100,135.55
2018-01-02,JPM,107.63,108.02,106.81,107.95,13578800,104.68
2018-01-02,KO,45.91,45.94,45.51,45.54,10872200,44.02
2018-01-02,MCD,173.73,174.48,172.66,173.22,3696900,168.94
2018-01-02,MMM,235.78,237.07,232.81,235.64,2931000,229.55
2018-01-02,MRK,56.59,56.75,56.05,56.22,10073000,54.55
2018-01-02,MSFT,86.13,86.31,85.5,85.95,22483800,84.49
2018-01-02,NKE,62.85,63.49,62.85,63.49,6511000,62.78
2018-01-02,PFE,36.38,36.52,36.24,36.44,16185800,34.88
2018-01-02,PG,91.92,91.93,90.55,90.65,7558900,86.88
2018-01-02,TRV,136.3,136.3,131.46,131.98,2388800,128.96
2018-01-02,UNH,221.02,222.45,220.0,221.16,3485000,218.22
2018-01-02,UTX,127.9,128.88,127.17,128.16,3095400,125.34
2018-01-02,V,114.57,115.08,113.95,114.51,6080900,113.75
2018-01-02,VZ,53.16,53.57,52.8,53.53,16045300,50.58
2018-01-02,WBA,73.28,75.19,72.97,74.95,6605000,73.19
2018-01-02,WMT,99.3,99.79,98.52,98.59,10150500,96.3
2018-01-02,XOM,83.82,85.2,83.66,85.03,11469300,80.75
2018-01-03,AAPL,172.53,174.55,171.96,172.23,29517900,168.96
2018-01-03,AXP,99.24,99.76,99.02,99.55,2976400,97.72
2018-01-03,BA,295.94,298.5,295.47,297.8,3211200,290.61
2018-01-03,CAT,157.04,157.49,155.4,157.28,4146100,152.86
2018-01-03,CSCO,38.72,39.28,38.53,39.17,29536000,37.72
2018-01-03,CVX,127.46,128.94,126.9,128.51,5805500,123.74
2018-01-03,DIS,112.19,113.19,111.45,112.28,9237900,110.53
2018-01-03,DWDP,72.01,73.14,71.69,73.05,7885800,71.38
2018-01-03,GS,255.48,256.14,253.22,253.29,2988200,249.85
2018-01-03,HD,188.0,189.36,187.82,189.01,4530500,184.83
2018-01-03,IBM,157.34,159.81,156.33,158.49,9441600,149.89
2018-01-03,INTC,45.47,46.21,43.65,45.26,116479000,43.87
2018-01-03,JNJ,139.36,140.68,138.9,140.56,5350500,136.85
2018-01-03,JPM,107.86,108.49,107.48,108.06,11901000,104.79
2018-01-03,KO,45.49,45.69,45.34,45.44,12635600,43.92
2018-01-03,MCD,173.23,173.64,172.0,172.49,3789600,168.23
2018-01-03,MMM,235.07,235.73,233.29,235.63,2193700,229.54
2018-01-03,MRK,56.23,56.26,55.96,56.14,10582500,54.47
2018-01-03,MSFT,86.06,86.51,85.97,86.35,26061400,84.88
2018-01-03,NKE,63.48,63.66,62.76,63.48,6091100,62.77
2018-01-03,PFE,36.45,36.77,36.23,36.71,13456500,35.14
2018-01-03,PG,90.73,91.09,90.52,90.54,5863600,86.77
2018-01-03,TRV,131.44,132.78,131.44,132.4,1308100,129.37
2018-01-03,UNH,221.62,223.81,220.52,223.48,2417600,220.51
2018-01-03,UTX,129.49,130.2,129.32,130.04,5008800,127.18
2018-01-03,V,114.95,115.79,114.66,115.65,6946100,114.88
2018-01-03,VZ,53.3,53.34,52.18,52.43,16662400,49.54
2018-01-03,WBA,75.09,75.8,74.31,75.51,7147300,73.74
2018-01-03,WMT,98.85,100.0,98.77,99.45,8903600,97.14
2018-01-03,XOM,85.16,86.97,84.82,86.7,13957700,82.34
2018-01-04,AAPL,172.54,173.47,172.08,173.03,22434600,169.74
2018-01-04,AXP,100.03,101.65,99.91,100.85,3122000,99.35
2018-01-04,BA,297.94,298.42,295.47,296.67,4171700,289.51
2018-01-04,CAT,157.89,159.58,157.02,159.44,4865800,154.96
2018-01-04,CSCO,39.05,39.54,38.93,38.99,20731400,37.83
2018-01-04,CVX,127.95,128.35,127.22,128.11,4598300,123.35
2018-01-04,DIS,112.95,113.0,111.63,112.23,7417400,110.48
2018-01-04,DWDP,73.17,74.74,73.14,74.45,9716600,72.75
2018-01-04,GS,255.23,259.72,254.32,256.83,2583200,253.34
2018-01-04,HD,189.87,190.87,188.47,190.51,4047400,186.3
2018-01-04,IBM,159.65,162.32,159.37,161.7,7556200,152.92
2018-01-04,INTC,43.52,44.65,42.69,44.43,89209100,43.07
2018-01-04,JNJ,140.45,141.14,140.22,140.55,4837600,136.84
2018-01-04,JPM,108.36,110.03,108.2,109.04,12953700,106.29
2018-01-04,KO,45.56,46.22,45.45,46.08,12709400,44.54
2018-01-04,MCD,173.24,174.13,172.73,173.7,2756400,169.41
2018-01-04,MMM,237.0,239.44,236.47,238.71,2243100,232.54
